timestamp,date,time,portfolio_value,cash,positions,pnl,daily_pnl
20221101 11:00:59,20221101,11:00:59,499868.6345805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-131.36541944008786,-131.36541944008786
20221101 11:01:59,20221101,11:01:59,499869.23458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-130.76541944005294,-130.76541944005294
20221101 11:02:59,20221101,11:02:59,499869.03458055994,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-130.96541944006458,-130.96541944006458
20221101 11:03:59,20221101,11:03:59,499869.23458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-130.76541944005294,-130.76541944005294
20221101 11:04:59,20221101,11:04:59,499869.43458055996,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-130.5654194400413,-130.5654194400413
20221101 11:05:59,20221101,11:05:59,499868.93458055996,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-131.0654194400413,-131.0654194400413
20221101 11:06:59,20221101,11:06:59,499867.5845805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-132.41541944007622,-132.41541944007622
20221101 11:07:59,20221101,11:07:59,499867.18458055996,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-132.8154194400413,-132.8154194400413
20221101 11:08:59,20221101,11:08:59,499866.3345805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-133.66541944007622,-133.66541944007622
20221101 11:09:59,20221101,11:09:59,499864.3845805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-135.61541944008786,-135.61541944008786
20221101 11:10:59,20221101,11:10:59,499864.68458055996,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-135.3154194400413,-135.3154194400413
20221101 11:11:59,20221101,11:11:59,499865.03458055994,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-134.96541944006458,-134.96541944006458
20221101 11:12:59,20221101,11:12:59,499864.98458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-135.01541944005294,-135.01541944005294
20221101 11:13:59,20221101,11:13:59,499864.78458055994,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-135.21541944006458,-135.21541944006458
